portal,type,facet,term,count
encode,Experiment,lab.title,"Sherman Weissman, Yale",6
encode,Experiment,lab.title,"Kevin Struhl, HMS",5
encode,Experiment,lab.title,"Mats Ljungman, UMichigan",5
encode,Experiment,lab.title,"Morgan Giddings, UNC",5
encode,Experiment,lab.title,"Vishwanath Iyer, UTA",5
encode,Experiment,lab.title,"Peggy Farnham, USC",4
encode,Experiment,lab.title,"Brenton Graveley, UConn",2
encode,Experiment,lab.title,Charles Lee,2
encode,Experiment,lab.title,"Gregory Crawford, Duke",2
encode,Experiment,lab.title,"John Lis, Cornell",2
encode,Experiment,lab.title,"Rob Spitale, UCI",2
encode,Experiment,lab.title,"Jason Lieb, UNC",1
encode,Experiment,lab.title,"Job Dekker, UMass",1
encode,FunctionalCharacterizationExperiment,assay_title,MPRA,9
encode,FunctionalCharacterizationExperiment,assay_title,Flow-FISH CRISPR screen,6
encode,FunctionalCharacterizationExperiment,assay_title,perturbation followed by snATAC-seq,1
encode,FunctionalCharacterizationExperiment,assay_title,pooled clone sequencing,1
encode,FunctionalCharacterizationExperiment,status,released,17
encode,FunctionalCharacterizationExperiment,assembly,hg19,14
encode,FunctionalCharacterizationExperiment,assembly,GRCh38,8
encode,FunctionalCharacterizationExperiment,lab.title,"Ryan Tewhey, JAX",9
encode,FunctionalCharacterizationExperiment,lab.title,"Jesse Engreitz, Stanford",6
encode,FunctionalCharacterizationExperiment,lab.title,"Will Greenleaf, Stanford",2
encode,Annotation,annotation_type,footprints,2486
encode,Annotation,annotation_type,imputation,402
encode,Annotation,annotation_type,gkm-SVM-model,187
encode,Annotation,annotation_type,BPNet-model,141
encode,Annotation,annotation_type,BPNet-control,32
encode,Annotation,annotation_type,candidate Cis-Regulatory Elements,14
encode,Annotation,annotation_type,element gene regulatory interaction predictions,9
encode,Annotation,annotation_type,chromatin state,8
encode,Annotation,annotation_type,ChromBPNet-model,5
encode,Annotation,annotation_type,ChromBPNet-bias-model,1
encode,Annotation,annotation_type,curated SNVs,1
encode,Annotation,annotation_type,overlap,1
encode,Annotation,status,released,2512
encode,Annotation,status,archived,772
encode,Annotation,status,revoked,3
encode,Annotation,encyclopedia_version,current,356
encode,Annotation,encyclopedia_version,ENCODE v5,336
encode,Annotation,encyclopedia_version,ENCODE v1,29
encode,Annotation,encyclopedia_version,ENCODE v2,20
encode,Annotation,encyclopedia_version,ENCODE v0.3,8
encode,Annotation,encyclopedia_version,ENCODE v0.2,3
encode,Annotation,encyclopedia_version,ENCODE v4,2
encode,Annotation,encyclopedia_version,ENCODE v3,1
encode,Annotation,encyclopedia_version,Roadmap,1
encode,Annotation,assembly,GRCh38,2251
encode,Annotation,assembly,hg19,76
encode,Annotation,lab.title,"Alan Boyle, University of Michigan",2487
encode,Annotation,lab.title,"Bill Noble, UW",385
encode,Annotation,lab.title,"Michael Beer, JHU",187
encode,Annotation,lab.title,"Anshul Kundaje, Stanford",179
encode,Annotation,lab.title,"Manolis Kellis, Broad",21
encode,Annotation,lab.title,"Zhiping Weng, UMass",15
